"","focal","seeds","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"118","GILCAP",5,"1","0","0","2","1","10","0","0","6","0","0","0","2","1","4","0","0","3","0","0","1","5","0","0","5","0","0","0"
"119","GILCAP",5,"1","0","0","0","1","6","0","0","0","0","0","0","5","0","2","0","0","2","0","0","0","7","0","0","2","0","0","0"
"120","GILCAP",4,"1","0","0","4","0","4","0","0","4","0","0","0","2","0","4","0","0","0","0","0","1","15","0","0","2","4","0","0"
"121","GILCAP",6,"1","0","0","1","2","2","1","0","2","0","0","0","4","0","1","0","0","1","0","0","0","2","0","0","7","1","0","0"
"122","GILCAP",7,"1","1","0","2","0","1","0","1","1","0","0","0","10","1","3","0","0","2","0","0","0","1","0","0","1","0","0","0"
"123","GILCAP",NA,"0","0","0","4","2","8","0","0","3","0","0","0","3","0","4","0","0","2","0","0","0","2","3","0","0","0","0","0"
"124","GILCAP",10,"0","0","0","1","0","3","0","1","2","0","0","0","9","2","1","0","1","1","0","0","2","11","0","0","2","0","0","0"
"125","GILCAP",2,"0","0","0","4","0","3","0","1","5","0","0","0","8","0","4","0","0","0","0","0","0","10","0","0","0","0","0","0"
"126","GILCAP",15,"0","0","0","2","0","0","0","4","4","0","0","0","5","0","2","0","0","1","0","0","0","14","0","0","0","0","0","0"
"127","GILCAP",21,"0","0","0","0","0","5","0","3","4","0","0","0","5","0","3","0","0","0","0","0","0","17","0","0","0","0","0","0"
"128","GILCAP",3,"1","0","0","3","0","1","0","0","0","0","0","0","8","0","1","0","0","3","0","0","1","4","0","0","12","0","0","0"
"129","GILCAP",2,"1","0","0","2","0","8","0","0","4","0","0","0","7","0","2","0","0","2","0","0","3","23","0","0","8","0","0","0"
"130","GILCAP",4,"1","0","0","3","2","1","0","2","1","1","0","0","8","1","5","0","0","4","0","0","0","17","2","0","6","0","0","0"
"131","GILCAP",4,"2","0","1","1","2","1","0","0","3","0","0","0","3","0","1","0","1","4","0","0","1","12","0","0","6","0","0","0"
"132","GILCAP",10,"0","0","0","1","2","6","0","0","13","0","0","0","3","0","5","0","0","0","0","0","0","34","0","0","4","0","0","0"
"133","GILCAP",1,"1","0","0","13","0","2","0","0","3","0","0","0","7","0","1","0","0","1","0","0","1","4","3","0","8","0","0","0"
"134","GILCAP",1,"0","0","0","5","0","2","1","0","6","0","0","0","7","1","3","0","0","2","0","0","0","4","0","0","5","0","0","0"
"135","GILCAP",1,"1","0","0","6","0","8","1","0","2","1","0","0","2","0","4","1","0","3","0","0","5","13","0","0","10","1","0","0"
"136","GILCAP",2,"2","0","0","6","1","4","0","1","10","3","0","0","4","0","5","0","0","1","0","0","1","33","0","0","12","1","1","0"
"137","GILCAP",1,"0","1","0","3","2","3","1","0","0","1","0","0","4","1","4","0","1","1","1","0","1","4","0","0","15","1","0","0"
"138","GILCAP",2,"1","1","0","6","0","1","0","1","2","0","0","0","1","0","4","0","0","0","0","0","0","2","0","0","6","0","0","0"
"139","GILCAP",15,"1","1","0","3","0","1","0","2","0","0","0","0","3","0","1","0","0","1","0","0","0","0","0","0","15","0","0","0"
"140","GILCAP",6,"0","0","0","5","1","1","0","0","2","4","0","0","2","0","3","0","0","0","0","0","4","4","0","0","4","0","0","0"
"141","GILCAP",11,"0","2","0","10","1","0","0","1","1","0","0","0","5","0","3","0","0","0","0","0","4","9","0","0","0","0","0","0"
"142","NAVSQU",1,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","1","7","0","0","1","0","0","0"
"143","NAVSQU",1,"0","0","0","4","0","0","0","0","1","0","0","0","3","0","1","0","0","2","0","0","0","11","0","0","1","0","0","0"
"144","NAVSQU",10,"1","0","0","2","0","2","0","0","4","0","0","0","2","0","2","0","0","2","0","0","0","5","0","0","0","0","0","0"
"145","NAVSQU",1,"2","0","0","2","2","4","0","0","7","0","0","0","1","0","3","0","0","0","0","0","0","11","1","0","1","0","0","0"
"146","NAVSQU",1,"0","0","0","3","1","2","0","0","4","0","0","0","2","0","3","0","0","0","0","0","0","18","0","0","2","0","0","0"
"147","NAVSQU",8.5,"0","0","0","0","2","0","0","1","1","0","0","0","6","0","1","0","0","1","0","0","2","4","0","0","2","0","0","0"
"148","NAVSQU",4,"1","0","0","1","0","0","0","0","3","0","0","0","4","0","2","0","0","0","0","0","0","11","0","0","0","0","0","0"
"149","NAVSQU",1,"0","0","0","0","2","0","0","0","2","0","0","1","2","0","1","0","0","3","0","0","2","6","0","0","7","4","0","0"
"150","NAVSQU",10.5,"0","0","0","0","0","0","0","0","6","1","0","0","2","1","5","0","1","2","0","0","0","4","0","0","7","2","0","0"
"151","NAVSQU",1,"3","2","0","4","0","2","0","1","8","0","0","0","2","0","5","0","0","2","0","0","1","15","0","0","0","2","0","0"
"152","NAVSQU",13,"1","0","0","1","0","0","1","0","2","1","0","0","4","0","0","0","0","2","0","0","0","1","0","0","2","2","0","0"
"153","NAVSQU",1,"1","0","0","0","5","9","0","0","2","0","0","0","5","1","5","0","0","1","0","0","1","12","0","0","12","0","0","0"
"154","NAVSQU",1,"0","0","0","0","0","5","0","0","0","0","0","1","3","0","1","0","0","1","0","0","1","5","0","0","5","1","0","0"
"155","NAVSQU",1,"1","2","0","0","2","11","0","0","3","0","0","0","3","0","7","0","0","0","0","0","0","1","35","0","2","0","0","0"
"156","NAVSQU",1,"2","0","0","1","4","7","0","0","3","0","0","0","1","0","5","0","0","1","0","0","0","9","2","0","3","0","0","0"
"157","NAVSQU",89,"1","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0"
"158","NAVSQU",1,"1","0","0","1","0","3","0","1","0","0","0","0","5","1","0","0","0","2","0","0","0","1","0","0","3","0","0","0"
"159","NAVSQU",1,"2","0","0","2","0","0","0","0","2","0","0","0","7","0","1","0","0","3","0","0","1","0","0","0","4","0","0","0"
"160","NAVSQU",1,"0","0","0","3","0","10","0","0","1","0","0","1","4","0","5","0","0","2","0","0","0","10","0","0","2","0","0","0"
"161","NAVSQU",18,"0","0","0","2","2","0","0","0","1","0","0","0","4","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0"
"162","NAVSQU",1,"0","1","0","2","0","0","0","0","0","1","0","0","9","0","1","0","0","0","0","0","0","7","0","0","0","1","0","0"
"163","NAVSQU",3,"2","0","0","1","0","1","0","2","3","0","0","0","5","0","0","0","0","1","0","0","0","27","0","0","12","0","0","0"
"164","NAVSQU",16,"1","1","0","11","1","3","0","3","7","0","0","0","2","0","5","0","0","0","0","0","0","16","0","0","1","0","0","0"
"165","NAVSQU",2,"0","0","0","1","0","1","0","0","14","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","3","0","0","0"
"166","NAVSQU",1,"0","0","0","0","0","6","0","0","1","0","0","0","6","0","2","0","0","3","0","0","2","3","0","0","0","0","0","0"
"167","NAVSQU",6.5,"1","0","0","6","1","11","0","0","8","0","0","0","5","1","3","0","0","0","0","0","4","19","0","0","10","0","0","0"
"168","NAVSQU",27,"0","0","0","2","3","8","0","0","5","0","0","0","1","0","5","0","0","0","0","0","0","53","0","0","3","2","0","0"
