park,plot,plot,subplot,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,SHEARV,GERANIUM,LEUVUL,CERGLO,LATHVIC,MYOSOTIS,TRIFOLIUM,ERILAN,DAUCAR,A,B,C,D,E,F,G,sedge,LINBIE,VERARV,DICCON,ACMAME
WIR,DIVERSE,3,E2,0,8,1,3,0,0,19,1,0,0,0,0,0,0,0,0,0,2,6,1,0,1,0,0,0,0,,,,
WIR,DIVERSE,3,A3,1,4,1,4,2,0,21,4,1,0,0,0,2,2,0,0,0,6,3,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,3,B3,0,5,1,3,3,3,21,10,0,2,0,0,0,0,0,0,0,7,1,0,2,1,0,0,0,0,,,,
WIR,DIVERSE,3,C3,0,3,0,0,5,0,29,0,0,3,0,0,0,0,2,0,0,8,0,2,0,2,0,0,0,0,,,,
WIR,DIVERSE,3,D3,1,2,0,1,0,2,17,0,1,1,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,E3,0,8,0,0,2,0,29,0,0,0,0,0,2,0,0,0,0,3,4,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,3,A4,2,19,2,3,4,1,20,2,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,3,B4,0,12,1,1,6,0,18,5,0,0,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,C4,0,0,0,0,4,1,34,0,0,4,1,0,1,0,2,0,0,10,1,2,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,D4,0,4,1,0,1,2,26,4,0,6,0,0,0,0,4,1,0,7,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,E4,0,4,0,1,2,0,20,2,0,3,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,,,,
WIR,DIVERSE,3,A5,0,21,0,2,2,2,15,0,0,1,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,,,,
WIR,DIVERSE,3,B5,0,7,0,0,3,2,12,4,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,3,C5,0,1,0,1,2,2,9,5,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,3,D5,0,5,0,0,1,0,9,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,3,E5,0,1,0,0,0,0,12,5,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,4,A1,0,6,0,1,1,2,9,1,0,2,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,,,,
