park,plot,plot,subplot,focal_collect,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,MYO,CHICKWEED,VICIA,MADIA,LEUVUL,DAUCUS,LINBIE,PLANTAIN,GERANIUM,GALIUM,SHEARV,CAMAS,CLOVER,J,C,F,G,H,I,VERARV,A,SEDGE,EPICIL,ERILAN,JUNCUS,SCARLET PIMPERNEL,LUPBIC,D,FRLA
BR,DIVERSE,3,C1,,2,0,0,1,1,3,6,2,0,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,D1,,1,9,5,7,3,4,1,4,0,0,1,0,2,0,2,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,3,E1,,0,13,6,8,3,4,2,3,3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,A2,,1,0,0,1,6,0,2,0,2,3,1,0,3,0,0,4,0,2,0,0,0,0,0,1,10,0,0,1,0,1,0,0,,,,,,
BR,DIVERSE,3,B2,,2,0,0,0,2,0,1,0,3,0,0,0,6,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,C2,,0,5,0,2,1,0,2,5,0,3,0,0,6,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,D2,,3,22,5,9,5,0,9,8,0,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,E2,,2,11,3,3,3,1,7,3,2,4,0,0,2,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,A3,,0,1,0,0,4,1,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,3,B3,,1,0,0,0,0,3,1,1,0,0,0,0,7,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,C3,,0,0,0,7,0,3,0,0,4,4,0,0,8,2,0,4,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,D3,,0,16,1,13,1,1,4,1,3,1,0,0,4,0,2,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,E3,,1,25,1,8,2,1,1,3,3,5,1,1,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,A4,,0,5,0,1,2,0,1,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,,,,,,
BR,DIVERSE,3,B4,,0,1,0,2,1,0,0,1,1,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,3,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,D4,,0,6,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,E4,,0,1,0,0,0,0,11,0,1,0,0,1,3,0,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,A5,,1,0,0,3,3,3,5,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,,,,,,
BR,DIVERSE,3,B5,,0,2,0,1,1,0,1,1,2,1,0,0,2,0,2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,D5,,0,1,0,0,0,0,5,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,3,E5,,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,A1,,0,2,0,2,5,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,B1,,0,3,0,2,7,1,2,0,1,0,0,0,6,0,3,4,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,,,,,,
BR,DIVERSE,4,C1,,0,0,0,1,5,0,6,1,2,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,,,,,,
BR,DIVERSE,4,D1,,1,0,1,0,1,0,9,3,1,0,0,0,1,0,4,4,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,,1,,,,
BR,DIVERSE,4,E1,,0,1,0,6,0,0,13,2,0,1,0,0,5,0,4,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,A2,,0,4,0,2,3,0,4,0,1,2,0,0,1,0,2,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,B2,,0,1,0,1,2,0,0,1,0,0,0,0,6,0,2,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,C2,,0,10,0,1,1,1,0,0,2,2,0,0,6,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,D2,,0,1,0,0,0,5,10,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,E2,,0,0,0,7,0,0,4,2,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,,1,,,,
BR,DIVERSE,4,A3,,0,6,0,1,3,0,4,2,4,3,2,0,1,6,3,5,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,4,B3,,1,0,0,2,2,0,3,2,1,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,4,C3,,0,6,0,2,0,0,4,0,4,3,0,0,4,2,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,4,D3,,0,0,0,0,0,2,1,1,0,0,0,0,6,0,3,3,0,2,0,0,1,0,0,1,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,E3,,0,9,0,3,1,2,2,3,3,1,0,0,4,0,3,4,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,A4,,0,2,2,1,6,0,1,0,0,0,1,0,3,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,,,,,,
BR,DIVERSE,4,B4,,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
BR,DIVERSE,4,C4,,0,1,0,1,0,3,3,2,2,5,0,0,8,0,0,6,0,2,0,0,1,0,0,1,6,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,D4,,1,0,0,2,0,0,1,0,0,2,0,0,6,0,4,0,0,0,1,0,0,0,0,0,6,0,0,3,0,0,0,1,,,,,,
BR,DIVERSE,4,E4,,0,1,0,3,0,0,0,3,2,1,0,0,7,2,3,5,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,,,,,,
BR,DIVERSE,4,A5,,0,2,3,1,3,0,0,0,0,5,0,0,3,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,
BR,DIVERSE,4,B5,,0,1,2,0,0,2,0,8,0,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,,,,,,
BR,DIVERSE,4,C5,,2,0,0,0,2,2,0,4,1,2,0,0,4,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,,,,,
BR,DIVERSE,4,D5,,1,0,3,9,1,1,1,6,0,0,1,1,4,2,1,3,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,,,,,
BR,DIVERSE,4,E5,,1,5,2,10,2,0,4,4,0,2,1,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,,,,,
BR,DIVERSE,5,A1,,0,16,0,2,2,0,6,0,0,1,0,0,2,0,2,0,0,0,2,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,B1,,0,0,0,7,1,1,6,3,0,1,0,0,6,0,0,3,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,C1,,0,0,0,4,3,2,7,1,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,D1,,0,3,1,3,3,1,9,3,0,2,0,1,2,1,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,,
BR,DIVERSE,5,E1,,1,2,1,1,1,0,11,1,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,
BR,DIVERSE,5,A2,,0,6,0,3,3,0,4,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
