"","species_name_wir","neighbor_name_wir","mean","lower","upper"
"68","COLLOM","COLLOM",-0.0204181951965854,-0.33533704162337,0.268292259502944
"69","COLLOM","D",-0.0619771031328954,-0.63065876366595,0.500416015300223
"70","COLLOM","DAUCAR",0.0169123292637105,-0.180358720074109,0.213687781303444
"71","COLLOM","DICCON",0.0144967011400834,-0.176362236137814,0.21081029437071
"72","COLLOM","E",0.0162105355782157,-0.176493339062842,0.212826996204361
"73","COLLOM","EPIDEN",0.27283359979163,-0.162503873264657,0.667901492080938
"74","COLLOM","ERILAN",0.114826330864527,-1.71353923214682,1.88566421435005
"75","COLLOM","F",0.114833058567788,-1.57553389726363,1.77894437298375
"76","COLLOM","G",-0.0319981166338876,-1.5993375959192,1.5189072064081
"77","COLLOM","GERANIUM",0.167070144336677,-0.981947347886426,1.34579750728159
