species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
NAVSQU,DIVERSE,340,0,2,0,1,1,4,0,0
NAVSQU,DIVERSE,140,3,1,2,4,3,18,0,0
NAVSQU,DIVERSE,1780,2,0,2,4,2,5,0,0
NAVSQU,DIVERSE,300,2,0,0,2,1,0,0,0
NAVSQU,DIVERSE,280,4,0,0,1,1,11,0,0
NAVSQU,DIVERSE,300,1,0,1,0,2,7,0,0
NAVSQU,DIVERSE,160,2,2,4,7,3,11,1,0
NAVSQU,DIVERSE,7440,0,0,1,0,0,1,0,0
NAVSQU,DIVERSE,360,1,4,7,3,5,9,2,0
NAVSQU,DIVERSE,160,0,2,11,3,7,1,35,0
NAVSQU,DIVERSE,200,0,0,5,0,1,5,0,0
NAVSQU,DIVERSE,40,0,5,9,2,5,12,0,0
NAVSQU,DIVERSE,540,3,0,2,1,1,7,0,0
NAVSQU,DIVERSE,380,4,0,0,0,0,7,0,0
NAVSQU,DIVERSE,180,7,0,1,6,3,16,0,0
NAVSQU,DIVERSE,2140,1,0,0,2,0,1,0,0
NAVSQU,DIVERSE,120,4,0,2,8,5,15,0,0
NAVSQU,DIVERSE,380,0,2,0,2,1,6,0,0
NAVSQU,DIVERSE,260,0,0,6,1,2,3,0,0
NAVSQU,DIVERSE,400,6,1,11,8,3,19,0,0
NAVSQU,DIVERSE,420,2,3,6,9,2,15,0,0
NAVSQU,DIVERSE,600,1,0,1,14,0,5,0,0
NAVSQU,DIVERSE,640,11,1,3,7,5,16,0,0
NAVSQU,DIVERSE,140,2,0,0,0,1,7,0,0
NAVSQU,DIVERSE,1000,1,0,1,3,0,27,0,0
NAVSQU,DIVERSE,240,2,0,1,0,1,5,0,0
NAVSQU,DIVERSE,380,1,0,1,2,0,6,1,0
NAVSQU,DIVERSE,120,2,2,6,3,4,5,2,0
NAVSQU,DIVERSE,260,1,1,0,1,1,3,0,0
CLAPUR,DIVERSE,320,3,1,2,5,5,14,0,0
CLAPUR,DIVERSE,200,8,1,3,4,3,10,0,0
CLAPUR,DIVERSE,740,4,2,3,3,6,3,0,0
CLAPUR,DIVERSE,40,4,0,5,4,1,4,0,0
CLAPUR,DIVERSE,200,4,2,0,0,2,3,0,0
CLAPUR,DIVERSE,60,5,0,0,0,0,1,0,0
CLAPUR,DIVERSE,40,4,1,2,5,5,8,0,0
CLAPUR,DIVERSE,60,3,0,4,8,0,2,0,0
CLAPUR,DIVERSE,400,3,5,2,13,2,22,1,0
CLAPUR,DIVERSE,40,3,3,1,2,2,15,0,0
CLAPUR,DIVERSE,20,4,0,0,2,0,1,0,0
CLAPUR,DIVERSE,180,6,2,4,6,5,3,0,0
CLAPUR,DIVERSE,200,6,0,0,0,2,0,0,0
CLAPUR,DIVERSE,80,4,0,0,0,2,6,0,0
CLAPUR,DIVERSE,120,2,0,1,7,0,2,0,0
CLAPUR,DIVERSE,40,2,1,1,5,4,9,1,0
CLAPUR,DIVERSE,420,1,0,0,2,0,0,0,0
CLAPUR,DIVERSE,200,2,3,4,1,2,8,0,0
CLAPUR,DIVERSE,180,2,0,4,3,0,11,0,0
CLAPUR,DIVERSE,40,4,3,8,9,3,19,0,0
CLAPUR,DIVERSE,80,2,0,2,6,4,13,0,0
CLAPUR,DIVERSE,80,8,4,6,10,5,19,0,0
CLAPUR,DIVERSE,120,9,0,3,3,1,6,0,0
CLAPUR,DIVERSE,80,3,1,3,3,1,28,0,0
CLAPUR,DIVERSE,40,9,1,2,1,3,7,0,0
CLAPUR,DIVERSE,60,5,0,3,1,4,9,0,0
CLAPUR,DIVERSE,220,5,2,6,1,3,3,0,0
CLAPUR,DIVERSE,120,5,1,2,2,1,1,0,0
CLAPUR,DIVERSE,360,3,0,0,0,0,8,0,0
COLLIN,DIVERSE,12,4,0,0,4,5,18,2,0
COLLIN,DIVERSE,44,2,2,0,1,1,2,0,0
