species,plot,seeds,CLAPUR,COLLIN,COLLOM,EPIDEN,GILCAP,NAVSQU,PLAFIG,PLECON
CLAPUR,DIVERSE,40,4,0,3,3,0,0,1,0
CLAPUR,DIVERSE,40,1,1,1,0,1,26,0,1
CLAPUR,DIVERSE,60,4,3,2,4,3,19,0,2
CLAPUR,DIVERSE,40,4,4,1,0,2,4,0,0
CLAPUR,DIVERSE,140,1,5,0,0,0,1,0,0
CLAPUR,DIVERSE,20,0,2,0,0,0,1,0,0
CLAPUR,DIVERSE,20,10,3,1,1,1,0,0,0
CLAPUR,DIVERSE,20,6,0,0,0,0,0,0,0
CLAPUR,DIVERSE,120,4,0,1,0,0,0,0,0
CLAPUR,DIVERSE,100,0,0,12,0,0,0,0,0
CLAPUR,DIVERSE,40,5,0,0,0,0,1,0,0
CLAPUR,DIVERSE,80,11,0,0,0,0,1,0,0
CLAPUR,DIVERSE,100,0,3,0,0,0,0,0,1
CLAPUR,DIVERSE,20,9,0,3,0,1,0,1,1
CLAPUR,DIVERSE,100,1,2,1,0,0,0,0,0
CLAPUR,DIVERSE,20,12,0,2,4,1,4,1,0
CLAPUR,DIVERSE,100,3,2,1,3,0,1,0,1
CLAPUR,DIVERSE,40,4,0,1,0,4,4,0,0
CLAPUR,DIVERSE,40,1,2,0,6,10,4,1,0
CLAPUR,DIVERSE,260,2,3,1,3,6,3,0,0
CLAPUR,DIVERSE,80,1,0,3,1,2,8,0,0
CLAPUR,DIVERSE,80,1,0,3,1,1,6,0,0
CLAPUR,DIVERSE,60,2,0,0,0,1,14,0,0
CLAPUR,DIVERSE,120,5,0,1,3,5,15,0,0
CLAPUR,DIVERSE,20,4,0,2,1,2,12,0,1
CLAPUR,DIVERSE,80,1,0,0,2,1,3,0,0
CLAPUR,DIVERSE,40,1,0,0,1,2,14,0,0
COLLIN,DIVERSE,8,3,4,5,6,2,1,0,0
COLLIN,DIVERSE,76,2,2,0,0,1,12,0,0
COLLIN,DIVERSE,20,4,2,1,5,3,9,0,1
COLLIN,DIVERSE,20,1,3,2,9,6,12,0,1
COLLIN,DIVERSE,84,0,1,2,4,0,2,0,1
COLLIN,DIVERSE,52,0,1,0,0,0,4,0,0
COLLIN,DIVERSE,16,0,1,1,0,0,0,0,0
COLLIN,DIVERSE,12,1,3,0,0,0,0,0,0
COLLIN,DIVERSE,12,1,1,0,0,1,1,0,0
COLLIN,DIVERSE,12,0,3,1,1,0,0,0,4
COLLIN,DIVERSE,28,5,3,2,3,3,0,0,1
COLLIN,DIVERSE,16,0,0,0,1,3,2,3,0
COLLIN,DIVERSE,8,3,0,3,4,2,2,1,0
COLLIN,DIVERSE,12,3,3,3,0,0,0,0,0
COLLIN,DIVERSE,16,6,1,0,6,6,7,0,0
COLLIN,DIVERSE,12,2,2,0,2,7,3,0,0
COLLIN,DIVERSE,12,0,1,0,4,0,13,0,3
COLLIN,DIVERSE,12,2,1,2,3,3,8,0,1
COLLIN,DIVERSE,12,0,1,0,2,6,13,1,0
COLLIN,DIVERSE,4,0,2,1,7,2,14,0,0
COLLIN,DIVERSE,8,0,1,1,2,6,2,0,0
GILCAP,DIVERSE,40,4,2,4,15,9,16,1,1
GILCAP,DIVERSE,40,4,0,4,10,2,5,2,1
GILCAP,DIVERSE,40,2,1,0,2,7,3,0,0
GILCAP,DIVERSE,100,2,2,1,1,4,9,0,1
GILCAP,DIVERSE,60,0,0,0,2,6,6,0,0
GILCAP,DIVERSE,60,0,0,0,0,3,0,0,0
GILCAP,DIVERSE,20,4,0,4,3,3,0,0,2
GILCAP,DIVERSE,40,2,0,0,1,6,0,0,1
GILCAP,DIVERSE,20,1,0,1,1,2,5,0,0
GILCAP,DIVERSE,40,0,1,0,0,4,1,0,0
GILCAP,DIVERSE,40,1,0,0,1,6,2,2,0
GILCAP,DIVERSE,60,2,1,0,2,7,3,0,0
GILCAP,DIVERSE,80,0,0,1,2,5,2,0,0
GILCAP,DIVERSE,60,9,1,3,3,3,3,1,0
GILCAP,DIVERSE,100,7,0,2,4,4,1,0,0
GILCAP,DIVERSE,20,4,0,0,3,3,6,0,0
GILCAP,DIVERSE,100,2,1,0,0,3,0,0,0
GILCAP,DIVERSE,60,2,0,0,0,2,1,0,0
GILCAP,DIVERSE,60,1,0,1,3,6,9,0,1
GILCAP,DIVERSE,20,4,2,0,8,4,6,0,1
GILCAP,DIVERSE,80,2,0,3,5,10,6,0,0
GILCAP,DIVERSE,40,7,0,3,4,6,4,0,0
GILCAP,DIVERSE,120,NA,NA,NA,NA,NA,NA,NA,NA
GILCAP,DIVERSE,100,2,0,1,1,6,23,0,0
GILCAP,DIVERSE,20,2,1,2,6,1,7,0,0
GILCAP,DIVERSE,20,0,0,1,1,7,6,0,0
GILCAP,DIVERSE,40,1,0,2,2,4,11,0,0
GILCAP,DIVERSE,160,0,0,1,1,7,6,0,0
GILCAP,DIVERSE,160,3,0,0,0,5,16,0,0
PLAFIG,DIVERSE,16,0,0,4,3,1,7,0,0
PLAFIG,DIVERSE,24,0,0,1,5,7,8,2,0
PLAFIG,DIVERSE,16,3,1,2,3,1,19,1,0
PLAFIG,DIVERSE,48,1,1,4,10,1,0,5,0
